Region-to-Region Flatbeds Broker Spot DAT Rates With DAT fuel ($0.45) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,3.98,3.02,2.43,1.87,2.04,1.94,2.05,1.94,2.11,1.97,2.06,2.22,2.08,2.05,2.06,,3.13,
Upper Atlantic,4.03,4.20,3.61,2.25,2.34,2.07,2.41,2.34,2.31,2.19,1.97,2.24,2.19,1.96,1.99,3.56,2.59,2.21
Lower Atlantic,3.79,3.75,3.79,2.74,2.43,2.26,2.66,2.40,2.38,2.24,2.04,2.40,2.37,2.08,2.01,,2.58,
Carolinas,3.13,3.20,3.38,4.02,2.81,2.69,2.52,2.45,2.55,2.26,2.16,2.08,2.35,2.12,2.36,,2.32,2.12
Florida-So Georgia,2.38,2.29,2.40,2.27,2.92,2.13,2.11,2.03,2.02,2.09,1.98,2.02,2.16,2.10,1.94,,1.99,1.91
Southeast,3.01,2.90,3.01,3.02,3.06,3.39,2.93,2.64,2.62,2.69,2.59,2.51,2.72,2.28,2.22,,2.08,2.09
Ohio River,3.33,3.55,3.52,2.99,2.85,2.92,3.72,3.33,3.01,3.17,2.52,2.62,2.79,2.16,2.30,,2.88,2.19
Great Lakes,3.16,3.34,3.26,2.61,2.56,2.51,3.37,3.56,3.32,2.96,2.22,2.55,2.58,2.19,2.33,,2.53,1.89
Upper Midwest,2.67,2.65,2.47,2.32,2.32,2.15,2.33,2.68,3.31,2.76,2.25,2.93,2.98,2.46,2.55,,1.78,2.41
Lower Midwest,2.70,2.53,2.57,2.63,2.50,2.29,2.49,2.40,3.07,3.45,2.45,3.00,3.10,2.36,2.44,,2.21,1.95
South Central,2.35,2.29,2.39,2.31,2.33,2.26,2.27,2.20,2.60,2.68,2.90,2.62,2.77,2.29,2.28,,1.96,1.92
Upper Mountain,2.11,2.06,2.01,1.98,1.96,1.87,2.10,1.89,2.18,2.02,1.94,2.90,2.84,2.72,2.33,,2.67,2.25
Lower Mountain,2.00,2.00,1.78,1.92,1.91,1.81,1.89,1.74,2.22,1.91,1.85,2.60,2.61,2.18,2.14,,1.94,2.24
California,1.99,2.00,2.00,2.14,1.99,1.87,1.99,2.03,2.03,2.12,2.00,3.10,2.96,2.92,2.32,,1.53,2.17
Pacific Northwest,2.06,2.07,1.89,1.92,2.02,1.93,2.03,1.98,2.30,2.13,1.99,3.42,2.89,2.69,3.98,,,3.02
Canada East,,,,,,,,,,,,,,,,,2.36,
Canada Central,4.17,3.80,3.55,3.07,2.69,2.59,2.98,3.20,3.23,2.76,2.65,,2.51,2.32,2.26,2.59,3.45,2.32
Canada West,,1.99,,,,1.86,1.82,2.05,2.66,,1.81,3.19,2.84,2.14,3.00,,1.87,2.60
