State-to-State Flatbeds Broker Spot DAT Rates With DAT fuel ($0.45) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dest - AB,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NF,NH,NJ,NM,NS,NV,NY,OH,OK,ON,OR,PA,PE,PQ,RI,SC,SD,SK,TN,TX,UT,VA,VT,WA,WI,WV,WY
Origin - AB,3.36,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,2.05,,,,,,,2.96
AL,,3.29,2.79,2.48,,2.33,3.31,3.27,3.19,3.16,3.54,2.76,,2.68,2.79,2.69,3.09,2.89,2.79,,2.90,,2.78,2.57,2.75,3.02,,,2.96,,2.62,,3.04,3.02,3.00,,2.89,3.10,2.78,2.52,1.99,2.11,3.01,,,,2.97,2.59,,3.45,2.56,2.63,3.05,,2.07,2.65,3.54,
AR,,2.95,3.88,2.68,,2.42,3.18,,2.85,2.75,2.80,2.77,2.79,2.99,2.65,3.36,2.67,2.98,3.05,,2.97,,2.51,2.54,3.39,3.38,,,2.81,4.22,2.74,,,2.60,3.73,,2.67,2.76,2.66,3.53,,2.21,2.92,,,,2.52,3.65,,2.77,3.01,3.10,2.91,,2.69,2.52,2.94,2.89
AZ,,1.65,1.69,3.46,,2.20,2.23,,,1.84,1.66,,2.09,1.71,1.59,,1.94,1.76,,,,,1.66,1.94,1.58,1.78,,,1.70,,1.55,,,2.08,2.29,,2.42,2.23,1.69,1.74,,2.04,1.97,,,,1.79,,,1.63,1.75,2.33,1.67,,1.86,1.56,,
BC,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,2.14,1.98,1.89,3.15,2.03,2.92,2.88,2.07,2.08,2.00,1.87,2.01,2.78,1.97,1.91,2.20,1.94,2.02,1.89,,2.01,,2.21,1.94,2.10,1.98,2.70,,2.29,2.37,1.91,,,2.05,2.62,,3.35,2.04,1.99,1.93,,2.31,1.98,,,,1.91,2.36,,1.81,2.02,2.65,1.98,,2.30,2.02,1.93,2.93
CO,,1.55,1.64,2.64,,1.91,3.56,,,1.82,2.02,1.91,2.28,1.69,1.88,1.89,1.80,1.66,,,,,,1.98,1.74,1.51,2.21,,1.78,2.73,2.06,,,,2.51,,2.66,1.99,1.70,2.11,,2.09,1.89,,,,2.54,2.50,,2.00,1.67,2.46,,,2.06,1.60,,3.53
CT,,2.52,,,,2.11,,,,2.09,,,,2.43,2.17,,1.72,,,,2.26,3.51,2.15,,,,,,1.94,,,,,3.37,,,,3.32,2.09,,,,2.93,,,,1.94,,,,2.25,,2.57,,,,2.54,
DE,,,,,,,,5.29,,2.48,2.31,,,2.03,1.94,,,,4.05,,,,2.10,,,,,,2.16,,,,,,,,,4.06,2.01,,,,,,,,,,,1.91,,,3.18,,,,,
FL,,1.76,1.94,2.09,,2.01,2.01,2.38,2.13,2.84,2.06,1.77,,1.97,1.86,1.76,1.85,1.97,2.18,,2.15,,1.96,1.97,1.93,1.74,,,1.78,,2.42,,,2.02,2.21,,1.88,2.44,2.03,2.09,1.90,,2.02,,,,2.08,,,1.76,1.90,,2.01,,1.92,1.96,2.49,
GA,1.98,2.91,2.49,2.31,,2.10,2.74,2.51,2.97,3.10,3.53,2.28,2.33,2.24,2.47,2.48,2.70,2.26,2.92,,2.75,2.49,2.28,2.21,2.31,2.51,2.25,,3.01,2.27,2.27,,2.68,2.80,2.58,,2.53,2.82,2.34,2.30,2.07,2.08,2.65,,,,3.41,,,3.01,2.15,2.50,2.97,,2.07,2.34,2.54,2.88
IA,,2.25,2.45,2.85,,2.48,3.48,,,2.49,2.33,3.31,,3.31,2.91,2.97,2.44,2.21,,,2.80,,2.79,3.60,3.27,2.02,3.48,,2.42,3.23,3.59,,,2.92,,,2.40,3.25,2.58,2.51,1.86,2.38,2.81,,,,2.61,3.55,,2.32,2.34,,2.69,,2.64,3.07,,
ID,,,,2.18,,2.29,2.58,,,2.08,1.86,,3.80,1.97,1.95,2.21,,1.80,,,2.32,,,,1.94,,3.38,,1.93,,1.99,,,,2.43,,2.72,2.17,1.98,,,2.66,,,,,,,,,1.99,2.95,,,2.50,2.02,,
IL,1.79,2.15,2.57,2.43,,2.33,3.37,3.02,2.70,2.65,2.54,3.87,2.56,3.73,3.86,2.98,3.37,1.97,3.17,1.94,2.97,,3.81,3.29,3.16,2.53,3.10,,2.64,2.94,3.26,,3.13,3.05,2.97,,2.57,3.07,3.20,2.64,2.26,2.17,2.91,,1.87,,2.30,3.26,,2.57,2.29,2.77,2.81,,2.35,3.93,3.08,3.33
IN,1.95,2.53,2.27,2.20,,2.16,2.98,3.07,3.29,2.58,2.51,3.54,2.46,3.83,4.30,3.04,3.56,2.19,3.52,,3.77,2.94,3.80,3.18,3.38,2.43,3.05,,2.67,3.27,2.95,,3.14,3.01,2.58,,2.32,3.43,3.75,2.55,2.32,2.08,3.23,,,3.19,2.65,3.10,,2.89,2.34,2.51,3.14,,2.40,3.83,3.48,3.03
KS,,2.05,2.46,2.88,,2.51,3.37,,,2.54,2.08,2.88,2.63,2.12,2.10,3.87,2.10,2.22,,,,,2.41,2.16,3.06,1.95,,,2.18,3.14,3.51,,,2.24,3.19,,2.97,2.82,2.22,3.43,2.32,2.29,2.22,,,,2.19,,,2.04,2.25,3.01,2.49,,2.45,2.25,,3.77
KY,,2.88,2.86,2.57,,2.17,3.35,3.58,3.64,2.85,2.87,3.25,,3.07,3.55,2.82,4.28,2.36,3.44,,3.53,3.37,3.16,2.87,3.17,2.64,2.22,,3.22,,3.24,,3.14,3.43,,,,3.95,3.51,2.73,3.22,,3.30,,,3.64,2.91,,,3.88,2.67,2.56,3.57,,2.25,2.97,3.69,
LA,,2.92,2.79,2.68,,2.43,3.21,,,2.58,2.45,2.60,,2.27,2.43,2.85,3.06,4.29,2.48,,,,2.38,,2.84,3.33,,,2.64,,2.99,,,2.22,,,,2.66,2.44,2.71,,2.62,2.52,,,,2.45,,,2.50,3.15,2.45,2.81,,2.65,2.21,2.92,
MA,,,,,,2.13,,,,1.92,1.69,,,1.96,1.72,,1.60,,,,2.51,3.77,2.23,,1.85,,,,1.70,,,,,3.05,,,,3.49,1.70,,,,2.60,,,,1.76,,,1.99,2.10,2.09,2.02,,,1.85,,
MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,3.58,,,,,,,,,
MD,,1.89,2.33,,,2.08,,4.79,3.81,2.27,2.11,2.44,,2.26,2.22,2.23,2.12,2.10,4.01,,,3.44,2.29,2.11,2.20,,,,2.48,,2.10,,4.06,4.64,,,2.27,4.25,2.80,,3.40,,3.86,,3.25,,2.28,,,2.06,1.83,2.81,3.82,3.55,2.71,2.40,3.09,
ME,,,,,,,,3.71,,,,,,,,,,,4.14,,,,,,,,,,,,,,,3.02,,,,3.33,,,3.61,,2.61,,,,,,,,,,,,,,,
