Region-to-Region Reefers Broker Spot DAT Rates With DAT fuel ($0.41) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,5.49,3.45,3.00,2.92,2.69,2.46,2.11,1.80,1.90,1.94,2.03,1.87,1.82,1.46,1.82,,2.33,
Upper Atlantic,4.98,4.93,4.80,3.47,2.94,2.85,2.54,2.15,1.93,2.00,2.01,1.72,1.86,1.47,1.90,3.19,2.55,2.13
Lower Atlantic,4.32,4.43,5.24,3.97,3.05,2.91,2.60,2.25,1.89,1.88,1.86,2.02,1.64,1.38,1.81,,2.37,
Carolinas,3.30,3.23,3.81,4.68,3.38,3.24,2.44,2.03,1.81,1.85,1.89,1.71,1.79,1.51,1.86,,2.16,1.92
Florida-So Georgia,2.65,2.52,2.56,2.52,3.93,2.38,2.10,1.84,1.73,1.77,1.80,1.69,1.64,1.30,1.72,,1.98,1.90
Southeast,2.96,3.00,3.40,4.03,3.74,4.16,2.91,2.23,2.12,2.24,2.39,2.12,2.03,1.60,1.96,,2.40,2.38
Ohio River,3.97,4.16,4.32,4.53,3.71,4.43,4.59,3.26,2.44,2.88,2.78,2.13,2.07,1.65,1.94,,2.55,1.99
Great Lakes,3.91,4.14,4.43,4.16,3.52,4.01,4.72,4.38,2.96,3.23,2.86,2.22,2.25,1.84,2.17,,2.71,2.31
Upper Midwest,3.58,3.73,3.72,3.65,3.47,3.79,4.27,4.01,4.26,4.51,3.56,2.95,2.85,2.29,2.55,,2.78,2.83
Lower Midwest,3.44,3.50,3.56,3.73,3.61,3.84,3.95,3.31,3.06,4.29,3.59,2.83,3.03,2.22,2.36,,2.57,2.63
South Central,2.94,2.89,3.03,3.19,3.24,3.30,2.92,2.52,2.35,2.79,3.46,2.42,2.31,1.81,2.13,,2.27,2.35
Upper Mountain,2.95,2.93,2.95,2.97,3.10,2.99,2.79,2.83,2.92,3.01,3.10,3.84,3.56,2.95,3.46,,2.27,3.62
Lower Mountain,2.91,2.98,2.86,2.97,3.00,2.99,2.87,2.71,2.53,2.63,3.03,3.05,3.23,2.67,2.82,,2.85,2.95
California,2.53,2.53,2.56,2.54,2.64,2.52,2.45,2.34,2.42,2.53,2.61,3.53,3.23,3.35,2.97,,2.44,3.11
Pacific Northwest,2.71,2.70,2.77,2.76,2.70,2.75,2.60,2.60,2.79,2.70,2.74,2.99,2.70,2.19,4.44,,2.11,3.53
Canada East,,4.61,,,,,,2.47,,,,,,,,,1.80,
Canada Central,4.90,4.09,4.20,3.65,3.08,2.86,3.12,3.41,2.83,2.64,1.99,2.28,2.06,1.73,2.43,2.92,2.85,2.71
Canada West,,2.50,2.49,,2.28,2.34,,2.77,4.07,,2.60,2.82,1.85,1.31,3.09,,1.81,3.15
