State-to-State Reefers Broker Spot DAT Rates Without fuel - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dest - AB,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NF,NH,NJ,NM,NS,NV,NY,OH,OK,ON,OR,PA,PE,PQ,RI,SC,SD,SK,TN,TX,UT,VA,VT,WA,WI,WV,WY
Origin - AB,3.74,,,,2.65,1.15,,,,1.89,,,,2.30,,,,,,1.29,,,,,,,,,,,,,,,,,,,,,1.44,,1.90,,,,,,2.06,,1.63,,,,,,,
AL,,4.56,1.52,1.51,,1.20,1.75,2.99,2.79,3.43,4.01,1.53,,1.78,1.85,1.77,2.85,2.96,2.23,,2.65,2.41,2.16,1.79,1.70,3.42,,,3.05,,,,,2.34,1.79,,,2.60,2.57,2.08,1.90,1.46,2.58,,,,3.33,,,3.92,1.81,1.39,2.75,,,1.55,3.67,
AR,,4.00,6.63,1.88,,1.52,3.10,,,3.39,3.56,2.35,1.98,2.59,2.80,3.27,3.62,3.81,2.62,,3.04,,2.60,2.31,3.55,4.39,,,3.33,,2.23,,2.75,2.55,2.59,,1.73,2.84,2.92,3.72,,1.83,2.68,,,,3.62,,,3.74,3.21,1.81,3.15,,1.82,2.49,,3.11
AZ,2.54,2.78,2.47,4.50,2.41,2.81,3.58,2.55,,2.60,2.63,2.45,2.36,2.46,2.47,2.44,2.61,3.26,2.50,,2.47,,2.39,2.28,2.37,,,,2.51,,2.38,,,2.59,3.52,,2.97,2.64,2.56,2.73,2.58,2.63,2.68,,2.20,,2.67,,2.77,2.79,2.80,2.34,2.60,,2.37,2.28,,
BC,2.44,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,1.30,,,,,,,,,,2.55,,,
CA,2.72,2.06,2.14,2.93,2.74,2.94,3.01,2.09,2.00,2.23,2.10,1.96,2.55,1.93,2.01,1.93,2.15,2.14,2.12,,2.14,2.14,1.94,2.01,2.14,2.23,3.38,,2.13,,2.38,,2.13,2.10,2.87,,3.73,2.14,1.97,2.25,2.10,2.73,2.14,,1.90,,2.13,2.10,2.59,2.16,2.21,2.48,2.15,,2.49,1.85,,2.88
CO,,2.59,2.76,1.52,,1.40,4.60,2.73,,2.39,2.27,1.70,1.13,1.74,1.78,1.77,1.89,2.52,1.98,,2.03,,2.27,1.67,1.79,,2.41,,2.24,1.85,1.86,,,2.28,2.56,,1.70,2.18,2.09,2.43,,1.72,2.18,,,,2.72,1.45,,2.22,1.94,1.41,2.11,,1.73,1.70,,3.69
CT,,,,,,1.02,,,,2.22,2.37,,,1.45,1.78,,,,,,2.48,,,,1.70,,,,2.46,,,,,4.02,,,,4.57,1.73,,,,3.34,,,,,,,,1.50,,2.76,,,,,
DE,,,1.43,,,0.94,,5.65,,2.52,2.77,1.41,,1.75,2.12,,1.95,,4.81,,,,2.39,1.31,1.47,,,,3.15,,1.28,,4.70,,,,,5.06,2.21,,,,5.46,,,,2.56,,,2.21,1.38,,4.54,,,1.94,,
FL,,1.87,1.67,1.00,,0.87,1.50,2.16,1.79,3.48,1.69,1.39,1.33,1.21,1.53,1.42,1.82,1.88,2.23,,2.23,2.17,1.56,1.34,1.37,1.66,,,1.97,,1.19,,2.17,2.08,1.38,,1.11,2.19,1.66,1.29,1.53,1.37,2.02,,1.80,2.46,1.97,,,1.70,1.29,1.17,2.07,,1.28,1.48,,1.43
GA,1.84,3.95,1.61,1.21,,1.08,1.80,2.58,3.21,3.31,3.81,1.26,1.45,1.47,1.54,1.65,2.39,2.47,2.41,2.22,2.63,2.34,1.81,1.40,1.57,2.63,,,3.40,1.37,1.29,,2.31,2.35,1.67,,1.35,2.66,1.84,1.54,1.62,1.39,2.43,,1.56,2.20,4.09,,1.42,3.08,1.51,1.27,2.94,,1.42,1.48,2.41,1.74
IA,,3.78,3.98,2.16,,1.92,3.86,3.35,,3.17,3.60,3.89,2.13,4.22,4.24,4.64,3.90,3.56,3.24,,3.25,3.66,4.13,4.08,4.78,4.06,,,3.45,3.09,4.33,,,3.37,3.25,,2.24,3.85,4.09,4.01,2.59,2.12,3.53,,,,3.37,3.19,,3.76,3.21,2.26,4.12,,2.07,3.95,,
ID,,2.79,2.53,2.60,,2.55,3.88,2.67,,2.73,2.73,2.59,4.11,2.56,2.65,2.80,2.40,2.86,2.54,,2.68,2.56,2.42,2.61,2.64,2.84,3.92,,2.62,,2.82,,2.51,2.53,3.95,,3.13,2.56,2.38,2.90,1.70,3.20,2.53,,,,2.55,,,2.48,2.77,3.88,2.55,,3.29,2.41,,4.63
IL,2.03,3.56,3.10,1.54,1.71,1.44,2.81,3.57,4.05,3.19,3.86,3.13,1.70,4.85,5.35,2.93,4.41,3.24,3.43,,3.79,3.28,4.77,2.62,3.65,3.33,2.41,,3.86,2.46,2.47,,3.64,3.45,2.18,,1.68,3.92,4.49,2.86,2.09,1.73,4.01,,2.01,,3.87,2.15,,3.92,2.53,1.77,4.09,,1.73,3.64,4.37,2.85
IN,,4.13,2.84,1.39,,1.26,2.36,3.47,,3.32,3.75,2.33,1.64,3.88,5.19,2.11,5.12,3.35,3.52,,3.91,3.08,4.08,2.07,2.90,3.85,,,4.09,1.71,2.09,,3.05,3.28,1.84,,1.51,3.78,4.89,2.52,1.52,1.82,4.03,,1.70,,4.54,1.90,,4.28,2.27,1.61,4.49,,1.66,2.58,,2.76
KS,,3.09,4.35,2.01,,1.77,3.43,,,3.14,3.31,3.15,,2.75,2.74,5.12,3.31,3.12,3.05,,3.21,3.20,3.07,2.40,4.39,3.72,2.72,,3.10,3.13,4.02,,2.94,2.97,3.40,,2.18,3.06,3.05,4.75,2.37,1.92,2.98,,,,3.65,,,3.32,3.52,2.11,2.98,,1.90,2.24,,3.70
KY,,4.53,2.49,1.34,,1.23,2.10,2.91,,3.30,4.18,2.17,,2.33,3.89,2.75,4.97,3.08,3.70,,3.80,3.44,3.34,2.04,2.61,3.18,,,3.88,,1.71,,,3.24,2.27,,1.58,3.69,4.24,2.21,1.73,1.43,3.41,,,,3.97,,,4.60,2.33,1.45,3.65,,1.50,2.13,,2.36
LA,,3.29,3.30,1.62,,1.23,2.00,2.15,,3.07,2.91,,,1.85,,,1.81,4.72,,,,,1.90,1.38,1.76,4.62,,,2.54,,,,,2.17,,,2.44,2.19,1.96,2.35,1.58,1.82,2.20,,,,2.70,,,2.41,2.61,,2.81,,1.60,,,
MA,,1.88,1.73,1.29,,1.08,1.60,,2.51,2.30,2.19,1.49,,1.24,1.36,1.52,1.74,1.66,,,2.53,5.06,1.75,1.65,1.47,2.06,,,2.53,,1.62,,,3.28,,,1.35,3.57,1.87,1.86,,1.62,2.58,,,,2.21,,,1.86,1.63,1.41,2.45,,1.42,1.53,,
MB,,,,,,,,,,2.04,2.08,,2.84,,,,,,,,,,,,,,,,,5.25,,,,,,,,,,,1.94,2.85,2.60,,,,,,4.96,,2.45,,,,,,,
MD,,2.49,,1.08,,0.96,1.50,5.19,,2.57,2.49,1.61,,1.60,1.59,1.47,2.23,2.25,4.39,,,3.78,2.02,1.38,1.74,,,,3.63,,,,4.37,4.96,,,,4.80,2.50,,,,5.03,,,,3.05,,,2.62,1.38,1.24,5.64,,1.24,1.63,4.02,
ME,,,,,,1.12,,3.54,,2.17,1.95,,,1.50,,,1.75,,4.40,,,,,,,,,,,,,,,2.90,,,,3.15,1.80,,,,2.59,,,,,,,1.48,1.53,,2.34,,,,,
MI,,3.35,2.61,1.62,,1.45,2.33,3.44,,2.88,3.56,2.10,1.53,3.37,3.76,2.21,3.38,2.54,3.58,,4.06,3.72,4.45,2.22,2.34,3.09,,,3.68,,2.07,,,3.30,,,1.73,3.95,4.31,2.40,3.19,1.82,3.82,,2.64,,3.59,2.31,,3.77,2.11,1.69,3.86,,1.68,2.76,,
MN,,3.12,3.59,2.07,,1.78,3.30,3.22,,2.98,3.01,4.23,2.21,3.39,3.51,3.93,3.63,3.17,2.98,,3.17,,3.46,4.34,4.08,3.63,3.12,,3.15,3.26,3.51,,,3.01,,,2.15,3.52,3.76,3.87,2.31,2.09,3.12,,,,3.05,3.51,,3.54,2.90,2.15,3.32,,2.24,3.66,,3.97
MO,,3.62,3.89,1.90,,1.69,2.85,3.33,,3.28,3.24,3.11,2.06,3.00,3.01,4.52,3.95,3.36,2.75,,3.07,3.01,2.98,2.23,4.42,3.91,2.54,,3.24,2.56,2.98,,3.50,3.02,2.90,,2.18,3.02,3.31,3.75,2.01,2.04,3.09,,,,3.57,2.73,,3.79,2.94,2.02,3.23,,1.97,2.34,,
MS,,4.13,3.49,1.56,,1.32,1.87,,,3.47,3.40,2.06,,2.21,2.07,1.94,2.43,4.65,2.62,,3.03,,2.18,1.94,2.04,3.86,,,3.41,,,,,2.53,2.30,,,2.48,2.47,2.81,,1.84,2.85,,,,3.80,,,3.56,2.43,1.70,3.24,,1.73,1.94,,
MT,,,,,,,,,,,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,2.60,,,2.41,,,
