State-to-State Vans Broker Spot DAT Rates Without fuel - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dest - AB,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NF,NH,NJ,NM,NS,NV,NY,OH,OK,ON,OR,PA,PE,PQ,RI,SC,SD,SK,TN,TX,UT,VA,VT,WA,WI,WV,WY
Origin - AB,2.86,,,1.01,1.86,0.89,1.58,,,1.38,1.30,1.29,1.95,0.91,1.08,1.09,,,,1.30,,,1.31,1.21,,,,,,,,,,,,,0.94,,1.00,,1.15,1.98,,,,,,,2.02,,1.44,1.61,,,1.72,1.13,,
AL,1.73,3.22,2.05,1.27,,1.22,2.14,2.08,2.36,2.87,2.80,1.71,1.89,1.53,1.76,1.76,2.14,2.19,2.35,,2.32,2.21,1.74,1.60,1.77,2.78,1.86,,2.19,1.84,1.91,,1.94,2.21,1.65,,1.60,2.17,1.77,1.84,1.16,1.67,2.15,,1.41,2.42,2.31,2.04,,2.72,1.49,1.95,2.17,2.69,1.57,1.46,2.36,2.33
AR,,2.65,3.96,1.69,,1.32,2.87,2.27,2.66,2.71,2.47,1.93,1.88,1.90,1.98,2.63,2.12,2.76,2.27,,2.30,,1.86,1.91,2.57,2.67,,,2.13,1.80,2.30,,2.22,2.24,2.33,,1.55,2.25,1.96,2.88,1.67,1.79,2.28,,1.32,2.56,2.12,2.23,,2.64,2.15,1.85,2.35,,1.68,1.79,2.10,2.87
AZ,2.39,1.77,1.90,3.54,1.71,1.45,3.11,1.82,,2.14,1.90,1.80,2.54,1.72,1.80,2.40,1.74,1.88,2.08,,2.09,,1.82,1.88,1.93,1.84,2.85,,1.92,2.10,1.79,,2.02,2.00,2.82,,2.26,2.07,1.70,2.34,1.64,2.35,2.08,,,,1.76,2.33,,2.17,1.97,2.54,1.94,,2.19,1.77,,2.66
BC,1.80,,,,3.33,0.72,,,,,,,,,,,,,,1.51,,,1.78,1.48,,,,,,,,,,,,,1.00,,,,0.99,2.21,1.06,,,,,,,0.99,1.14,1.66,,,3.45,,,
CA,2.34,1.98,2.13,2.69,2.54,2.40,2.95,1.87,1.96,2.11,1.95,2.11,2.65,1.77,1.86,2.21,1.84,2.05,1.97,2.16,1.99,1.85,1.80,2.00,1.94,2.14,2.81,,1.94,2.02,2.31,,1.88,1.93,2.80,,3.09,1.91,1.74,2.39,1.43,2.63,1.90,,1.40,1.90,2.08,2.17,,2.17,2.06,2.74,1.97,2.12,2.52,1.68,1.75,3.13
CO,1.99,1.35,1.49,1.05,,1.01,3.41,,,1.57,1.55,1.22,1.88,0.97,1.37,1.29,1.19,1.31,1.69,,1.70,,1.44,1.27,1.01,1.38,2.67,,1.56,1.86,1.70,,,1.66,1.93,,1.25,1.75,1.25,1.01,1.33,1.97,1.59,,1.23,1.69,1.14,1.70,,1.30,1.07,1.40,1.58,,2.11,1.16,,2.78
CT,,1.63,1.28,1.12,,0.99,1.27,,,1.97,1.51,1.53,1.37,1.24,1.37,1.66,1.26,,4.22,,2.37,3.71,1.22,1.36,1.43,1.36,,,1.61,,1.41,,3.82,2.96,,,1.28,2.97,1.25,1.36,1.37,,2.35,,1.67,,1.59,,,1.52,1.31,1.42,1.97,3.42,1.17,1.28,,
DE,,1.87,,1.28,,0.95,,5.34,,2.24,1.99,1.60,,1.46,1.54,1.61,1.74,,4.43,,,3.46,1.67,1.69,1.47,,,,2.12,,1.59,,3.68,4.72,,,1.21,4.26,1.97,,1.92,1.12,3.66,,,4.99,1.82,,,1.91,1.14,,3.38,,1.28,1.40,3.96,
FL,1.49,1.04,1.04,1.12,,0.86,1.69,1.36,1.36,2.53,0.94,1.11,1.24,0.85,1.13,1.51,0.98,1.10,1.59,,1.38,1.63,0.99,1.10,1.03,1.06,1.30,,1.10,,1.06,,1.52,1.32,1.26,,1.17,1.42,1.07,1.05,0.97,1.28,1.23,,1.12,1.34,1.12,1.23,,1.04,0.93,1.23,1.24,,1.24,0.94,1.26,
GA,1.51,2.85,1.62,1.24,1.45,0.96,2.05,2.11,2.04,2.91,2.79,1.49,1.53,1.27,1.45,1.61,1.76,1.86,2.09,1.54,2.12,2.03,1.48,1.38,1.53,1.94,1.76,2.15,2.39,1.57,1.48,,2.05,1.93,1.46,,1.41,2.05,1.57,1.67,1.34,1.46,1.99,,1.10,2.06,2.92,1.58,1.42,2.07,1.32,1.46,2.24,1.97,1.52,1.32,2.28,1.71
IA,2.13,2.24,2.52,1.74,2.06,1.55,3.17,2.56,2.67,2.56,2.59,3.01,2.03,2.59,2.59,3.31,2.52,2.25,2.53,2.34,2.56,2.50,2.50,2.86,2.98,2.30,2.97,,2.33,2.62,3.35,,2.68,2.62,2.39,,1.84,2.64,2.45,2.66,1.67,2.03,2.66,,1.39,2.41,2.41,3.00,,2.57,2.13,2.21,2.65,,2.01,2.59,2.44,3.67
ID,,1.76,1.98,1.74,,1.61,2.89,,,2.11,2.07,1.93,2.90,1.94,1.91,2.19,1.89,2.20,2.19,,2.41,,2.24,2.05,1.88,1.95,3.86,,1.83,,2.08,,,1.97,2.33,,1.82,2.19,1.97,1.98,2.00,2.47,2.05,,1.08,,1.84,2.65,,2.08,1.96,2.56,2.12,,2.65,1.94,,3.08
IL,1.70,2.80,2.61,1.56,1.64,1.21,2.87,2.84,2.83,2.65,2.73,3.29,1.83,3.45,3.79,2.70,3.42,2.55,2.76,2.00,3.15,2.69,3.53,2.52,2.95,2.47,2.38,2.10,2.63,2.44,2.59,,2.67,2.66,1.93,,1.59,2.97,3.30,2.44,1.51,1.58,2.98,,1.46,2.62,2.61,2.53,2.04,2.84,1.87,1.94,2.98,2.86,1.56,2.97,3.12,2.58
IN,1.82,2.80,2.29,1.41,1.72,1.14,2.58,3.00,3.06,2.80,2.78,2.43,1.78,2.92,3.61,2.22,3.33,2.45,2.86,2.13,3.11,2.94,2.78,1.99,2.49,2.39,2.16,,2.76,1.95,2.21,,2.75,2.61,1.75,,1.46,2.98,3.29,2.28,1.72,1.61,2.96,,1.46,2.94,2.76,2.32,2.19,2.79,1.70,1.83,3.19,3.15,1.67,2.34,3.72,2.65
KS,1.75,2.11,2.56,1.77,1.87,1.38,3.13,2.17,1.97,2.24,2.08,2.34,1.98,1.76,1.83,3.58,2.06,2.28,2.23,,2.40,2.30,1.82,1.97,3.00,1.97,2.82,,2.09,2.66,3.43,,2.66,2.17,2.78,,1.80,2.15,1.80,2.99,1.29,1.96,2.13,,1.13,,2.07,2.56,,1.93,2.01,2.27,2.20,2.54,2.04,1.78,2.32,3.23
KY,1.92,3.08,2.28,1.44,1.69,1.24,2.44,2.77,3.16,2.88,3.01,2.17,1.77,2.21,2.89,2.11,3.56,2.34,2.74,2.27,3.06,2.77,2.30,1.92,2.29,2.52,2.09,,2.81,1.92,2.30,,2.60,2.75,2.09,,1.45,3.08,2.82,2.35,1.73,1.72,2.96,,1.34,2.94,2.90,2.66,,3.28,1.72,1.87,3.38,2.96,1.95,1.90,3.71,2.53
LA,1.99,2.46,2.47,1.46,,1.28,2.09,2.07,2.17,2.72,2.22,1.81,1.76,1.62,1.72,1.97,1.83,3.10,2.07,,2.09,,1.66,1.60,1.80,3.18,,,2.00,1.98,1.88,,,1.94,1.50,,1.68,1.99,1.74,2.12,1.37,1.63,2.00,,1.46,2.05,2.10,,,2.04,1.95,1.69,2.17,,1.63,1.62,2.00,
MA,,1.54,1.39,1.28,,1.01,1.95,3.24,2.33,1.86,1.69,1.86,1.52,1.12,1.33,1.39,1.28,1.39,,,2.01,3.47,1.31,1.31,1.32,1.31,,,1.61,,1.01,,3.79,2.48,,,1.23,2.79,1.13,1.26,1.53,1.22,1.95,,1.72,,1.57,,,1.58,1.17,1.54,1.86,3.72,1.44,1.21,1.57,
MB,2.00,,,,,1.39,,,,,,1.97,,1.59,,,0.98,,,,,,,2.20,,,,,,,,,,,,,,,,,1.07,,1.63,,,,,,2.74,,2.04,,,,,1.61,,
MD,,1.71,1.47,1.15,,0.94,1.88,4.40,,2.37,1.84,1.49,,1.41,1.45,1.58,1.52,1.59,3.98,,4.43,3.54,1.54,1.50,1.46,1.49,,,2.30,1.43,1.44,,3.83,3.91,,,1.25,3.81,1.88,1.47,1.81,1.38,3.81,,1.57,3.86,2.06,1.39,,1.62,1.26,1.45,3.30,3.35,1.67,1.43,2.54,
ME,,1.68,1.49,1.42,,1.29,,4.07,,1.96,1.62,,,1.27,1.49,,1.46,,4.09,,2.18,3.05,1.46,1.52,,,,,1.89,,,,,2.47,,,,2.86,1.42,1.60,1.74,,2.15,,,4.24,1.86,,,1.40,1.42,1.49,2.10,,,1.43,2.01,
MI,2.38,2.34,2.08,1.49,,1.31,2.65,3.10,2.88,2.54,2.54,2.25,1.65,2.66,2.70,2.20,2.44,2.01,2.94,1.88,3.02,3.07,2.98,2.11,2.21,2.14,,,2.59,2.09,2.21,,2.78,2.69,1.77,,1.58,3.15,3.08,2.38,2.25,1.71,3.03,,1.94,3.00,2.37,2.34,1.83,2.33,1.45,1.82,2.95,3.32,1.64,2.18,3.38,
MN,1.77,2.11,2.40,1.85,1.80,1.61,3.07,2.50,,2.30,2.24,3.16,2.12,2.26,2.32,2.70,2.31,2.14,2.44,3.00,2.55,2.32,2.30,3.40,2.51,2.50,2.98,,2.30,3.12,2.78,,2.49,2.44,2.10,,1.88,2.59,2.19,2.47,1.30,2.20,2.59,,1.35,2.38,2.29,3.25,,2.34,2.07,2.16,2.44,2.62,2.13,2.62,2.57,3.32
MO,1.88,2.26,2.83,1.58,1.98,1.40,3.06,2.37,2.20,2.50,2.33,2.55,1.93,2.04,2.06,3.16,2.33,2.37,2.36,2.30,2.33,,1.90,2.06,3.14,2.26,2.54,,2.28,2.13,3.05,,1.96,2.40,2.60,,1.61,2.46,2.05,2.83,1.58,1.92,2.32,,1.40,,2.18,2.74,1.97,2.28,2.02,2.02,2.58,,1.89,1.87,2.44,3.19
MS,1.76,3.23,2.61,1.44,,1.28,2.29,2.38,,2.90,2.60,1.95,1.86,1.76,1.92,2.13,2.31,3.27,2.19,,2.46,2.46,1.83,1.86,2.17,3.17,2.08,,2.21,2.30,1.84,,,2.21,1.71,,1.60,2.32,1.93,2.48,1.45,1.48,2.23,,1.40,2.38,2.31,2.21,,2.56,1.79,1.71,2.38,,1.73,1.74,2.39,
MT,,,,1.71,,1.46,2.24,,,1.99,1.79,,2.76,1.58,1.57,1.71,1.46,,,,,,1.76,1.73,1.80,,4.29,,1.74,,1.77,,,1.84,,,1.66,1.82,1.67,,1.36,2.04,1.83,,,,1.20,,,,1.70,1.90,,,2.12,1.53,,2.64
