State-to-State Vans Broker Spot DAT Rates With DAT fuel ($0.37) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dest - AB,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NF,NH,NJ,NM,NS,NV,NY,OH,OK,ON,OR,PA,PE,PQ,RI,SC,SD,SK,TN,TX,UT,VA,VT,WA,WI,WV,WY
Origin - AB,3.23,,,1.38,2.23,1.26,1.95,,,1.75,1.67,1.66,2.32,1.28,1.45,1.46,,,,1.67,,,1.68,1.58,,,,,,,,,,,,,1.31,,1.37,,1.52,2.35,,,,,,,2.39,,1.81,1.98,,,2.09,1.50,,
AL,2.10,3.59,2.42,1.64,,1.59,2.51,2.45,2.73,3.24,3.17,2.08,2.26,1.90,2.13,2.13,2.51,2.56,2.72,,2.69,2.58,2.11,1.97,2.14,3.15,2.23,,2.56,2.21,2.28,,2.31,2.58,2.02,,1.97,2.54,2.14,2.21,1.53,2.04,2.52,,1.78,2.79,2.68,2.41,,3.09,1.86,2.32,2.54,3.06,1.94,1.83,2.73,2.70
AR,,3.02,4.33,2.06,,1.69,3.24,2.64,3.03,3.08,2.84,2.30,2.25,2.27,2.35,3.00,2.49,3.13,2.64,,2.67,,2.23,2.28,2.94,3.04,,,2.50,2.17,2.67,,2.59,2.61,2.70,,1.92,2.62,2.33,3.25,2.04,2.16,2.65,,1.69,2.93,2.49,2.60,,3.01,2.52,2.22,2.72,,2.05,2.16,2.47,3.24
AZ,2.76,2.14,2.27,3.91,2.08,1.82,3.48,2.19,,2.51,2.27,2.17,2.91,2.09,2.17,2.77,2.11,2.25,2.45,,2.46,,2.19,2.25,2.30,2.21,3.22,,2.29,2.47,2.16,,2.39,2.37,3.19,,2.63,2.44,2.07,2.71,2.01,2.72,2.45,,,,2.13,2.70,,2.54,2.34,2.91,2.31,,2.56,2.14,,3.03
BC,2.17,,,,3.70,1.09,,,,,,,,,,,,,,1.88,,,2.15,1.85,,,,,,,,,,,,,1.37,,,,1.36,2.58,1.43,,,,,,,1.36,1.51,2.03,,,3.82,,,
CA,2.71,2.35,2.50,3.06,2.91,2.77,3.32,2.24,2.33,2.48,2.32,2.48,3.02,2.14,2.23,2.58,2.21,2.42,2.34,2.53,2.36,2.22,2.17,2.37,2.31,2.51,3.18,,2.31,2.39,2.68,,2.25,2.30,3.17,,3.46,2.28,2.11,2.76,1.80,3.00,2.27,,1.77,2.27,2.45,2.54,,2.54,2.43,3.11,2.34,2.49,2.89,2.05,2.12,3.50
CO,2.36,1.72,1.86,1.42,,1.38,3.78,,,1.94,1.92,1.59,2.25,1.34,1.74,1.66,1.56,1.68,2.06,,2.07,,1.81,1.64,1.38,1.75,3.04,,1.93,2.23,2.07,,,2.03,2.30,,1.62,2.12,1.62,1.38,1.70,2.34,1.96,,1.60,2.06,1.51,2.07,,1.67,1.44,1.77,1.95,,2.48,1.53,,3.15
CT,,2.00,1.65,1.49,,1.36,1.64,,,2.34,1.88,1.90,1.74,1.61,1.74,2.03,1.63,,4.59,,2.74,4.08,1.59,1.73,1.80,1.73,,,1.98,,1.78,,4.19,3.33,,,1.65,3.34,1.62,1.73,1.74,,2.72,,2.04,,1.96,,,1.89,1.68,1.79,2.34,3.79,1.54,1.65,,
DE,,2.24,,1.65,,1.32,,5.71,,2.61,2.36,1.97,,1.83,1.91,1.98,2.11,,4.80,,,3.83,2.04,2.06,1.84,,,,2.49,,1.96,,4.05,5.09,,,1.58,4.63,2.34,,2.29,1.49,4.03,,,5.36,2.19,,,2.28,1.51,,3.75,,1.65,1.77,4.33,
FL,1.86,1.41,1.41,1.49,,1.23,2.06,1.73,1.73,2.90,1.31,1.48,1.61,1.22,1.50,1.88,1.35,1.47,1.96,,1.75,2.00,1.36,1.47,1.40,1.43,1.67,,1.47,,1.43,,1.89,1.69,1.63,,1.54,1.79,1.44,1.42,1.34,1.65,1.60,,1.49,1.71,1.49,1.60,,1.41,1.30,1.60,1.61,,1.61,1.31,1.63,
GA,1.88,3.22,1.99,1.61,1.82,1.33,2.42,2.48,2.41,3.28,3.16,1.86,1.90,1.64,1.82,1.98,2.13,2.23,2.46,1.91,2.49,2.40,1.85,1.75,1.90,2.31,2.13,2.52,2.76,1.94,1.85,,2.42,2.30,1.83,,1.78,2.42,1.94,2.04,1.71,1.83,2.36,,1.47,2.43,3.29,1.95,1.79,2.44,1.69,1.83,2.61,2.34,1.89,1.69,2.65,2.08
IA,2.50,2.61,2.89,2.11,2.43,1.92,3.54,2.93,3.04,2.93,2.96,3.38,2.40,2.96,2.96,3.68,2.89,2.62,2.90,2.71,2.93,2.87,2.87,3.23,3.35,2.67,3.34,,2.70,2.99,3.72,,3.05,2.99,2.76,,2.21,3.01,2.82,3.03,2.04,2.40,3.03,,1.76,2.78,2.78,3.37,,2.94,2.50,2.58,3.02,,2.38,2.96,2.81,4.04
ID,,2.13,2.35,2.11,,1.98,3.26,,,2.48,2.44,2.30,3.27,2.31,2.28,2.56,2.26,2.57,2.56,,2.78,,2.61,2.42,2.25,2.32,4.23,,2.20,,2.45,,,2.34,2.70,,2.19,2.56,2.34,2.35,2.37,2.84,2.42,,1.45,,2.21,3.02,,2.45,2.33,2.93,2.49,,3.02,2.31,,3.45
IL,2.07,3.17,2.98,1.93,2.01,1.58,3.24,3.21,3.20,3.02,3.10,3.66,2.20,3.82,4.16,3.07,3.79,2.92,3.13,2.37,3.52,3.06,3.90,2.89,3.32,2.84,2.75,2.47,3.00,2.81,2.96,,3.04,3.03,2.30,,1.96,3.34,3.67,2.81,1.88,1.95,3.35,,1.83,2.99,2.98,2.90,2.41,3.21,2.24,2.31,3.35,3.23,1.93,3.34,3.49,2.95
IN,2.19,3.17,2.66,1.78,2.09,1.51,2.95,3.37,3.43,3.17,3.15,2.80,2.15,3.29,3.98,2.59,3.70,2.82,3.23,2.50,3.48,3.31,3.15,2.36,2.86,2.76,2.53,,3.13,2.32,2.58,,3.12,2.98,2.12,,1.83,3.35,3.66,2.65,2.09,1.98,3.33,,1.83,3.31,3.13,2.69,2.56,3.16,2.07,2.20,3.56,3.52,2.04,2.71,4.09,3.02
KS,2.12,2.48,2.93,2.14,2.24,1.75,3.50,2.54,2.34,2.61,2.45,2.71,2.35,2.13,2.20,3.95,2.43,2.65,2.60,,2.77,2.67,2.19,2.34,3.37,2.34,3.19,,2.46,3.03,3.80,,3.03,2.54,3.15,,2.17,2.52,2.17,3.36,1.66,2.33,2.50,,1.50,,2.44,2.93,,2.30,2.38,2.64,2.57,2.91,2.41,2.15,2.69,3.60
KY,2.29,3.45,2.65,1.81,2.06,1.61,2.81,3.14,3.53,3.25,3.38,2.54,2.14,2.58,3.26,2.48,3.93,2.71,3.11,2.64,3.43,3.14,2.67,2.29,2.66,2.89,2.46,,3.18,2.29,2.67,,2.97,3.12,2.46,,1.82,3.45,3.19,2.72,2.10,2.09,3.33,,1.71,3.31,3.27,3.03,,3.65,2.09,2.24,3.75,3.33,2.32,2.27,4.08,2.90
