date,General Freight Trucking (Local),General Freight Trucking Services (Local): General Freight Trucking,General Freight Trucking (Local): Primary Services,General Freight Trucking (Local): Other Receipts,General Freight Trucking (Local): 2,General Freight Trucking (Local): PC1,General Freight Trucking (Long-Distance Truckload),General Freight Trucking (Long-Distance Truckload): 2,General Freight Trucking (Long-Distance Truckload): PC1,General Freight Trucking (Long-Distance Truckload): Primary Services,General Freight Trucking (Long-Distance Truckload): Other Receipts,General Freight Trucking (Long-Distance Less Than Truckload),General Freight Trucking (Long-Distance Less Than Truckload): 2,General Freight Trucking (Long-Distance Less Than Truckload): PC1,General Freight Trucking (Long-Distance Less Than Truckload): Primary Services,General Freight Trucking (Long-Distance Less Than Truckload): Other Receipts,General Freight Trucking (Long-Distance),General Freight Trucking (Long-Distance): PC1,General Freight Trucking,PCU48414841: PC1,Used Household and Office Goods Moving,Used Household and Office Goods Moving (Except Local),Used Household and Office Goods Moving (Local),Used Household and Office Goods Moving: Primary Sources,Used Household and Office Goods Moving: 2,Specialized Freight (Except Used Goods Local),Specialized Freight (Except Used Goods Local): DISCONTINUED,Specialized Freight (Except Used Goods): Primary Services,Specialized Freight (Except Used Goods): Other Receipts,Specialized Freight (Except Used Local),Specialized Freight (Except Used Goods Long-Distance),Specialized Freight (Except Used Goods Long-Distance): 2,Specialized Freight (Except Used Goods Long-Distance): Primary Services,Specialized Freight (Except Used Goods Long-Distance): Other Receipts,Specialized Freight (Except Used),Specialized Freight Trucking,Truck Transportation,Truck Transportation: PC1
1992-06-01,,,,,,,,100.000,,100.000,,,100.000,,100.000,,,,,,,100.000,,,,,,,,,,,,,,,,
1992-07-01,,,,,,,,99.900,,99.900,,,99.700,,99.700,,,,,,,100.000,,,,,,,,,,,,,,,,
1992-08-01,,,,,,,,100.000,,100.000,,,100.500,,100.500,,,,,,,97.700,,,,,,,,,,,,,,,,
1992-09-01,,,,,,,,99.800,,99.800,,,100.000,,100.000,,,,,,,97.700,,,,,,,,,,,,,,,,
1992-10-01,,,,,,,,99.800,,99.800,,,100.300,,100.300,,,,,,,96.500,,,,,,,,,,,,,,,,
1992-11-01,,,,,,,,99.500,,99.500,,,100.300,,100.300,,,,,,,96.500,,,,,,,,,,,,,,,,
1992-12-01,,,,,,,,99.500,,99.500,,,100.100,,100.100,,,,,,,96.600,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,99.600,,99.600,,,103.000,,103.000,,,,,,,99.600,,,,,,,,,,,,,,,,
1993-02-01,,,,,,,,99.600,,99.600,,,102.300,,102.300,,,,,,,99.900,,,,,,,,,,,,,,,,
1993-03-01,,,,,,,,99.800,,99.800,,,102.600,,102.600,,,,,,,99.900,,,,,,,,,,,,,,,,
1993-04-01,,,,,,,,99.800,,99.800,,,102.500,,102.500,,,,,,,99.900,,,,,,,,,,,,,,,,
1993-05-01,,,,,,,,98.600,,98.600,,,102.600,,102.600,,,,,,,100.000,,,,,,,,,,,,,,,,
1993-06-01,,100.000,100.000,,,,,99.500,-0.50000,99.500,,,102.600,2.60000,102.600,,,,,,,101.500,,,,,100.0,100.000,,,,,,,,,,
1993-07-01,,100.000,100.000,,,,,97.600,-2.30230,97.600,,,102.600,2.90873,102.600,,,,,,,101.500,,,,,99.5,99.500,,,,,,,,,,
1993-08-01,,100.400,100.400,,,,,98.700,-1.30000,98.700,,,103.400,2.88557,103.400,,,,,,,101.600,,,,,99.5,99.500,,,,,,,,,,
1993-09-01,,99.900,99.900,,,,,98.700,-1.10220,98.700,,,103.400,3.40000,103.400,,,,,,,101.600,,,,,99.5,99.500,,,,,,,,,,
1993-10-01,,100.700,100.700,,,,,98.700,-1.10220,98.700,,,103.500,3.19043,103.500,,,,,,,100.700,,,,,99.5,99.500,,,,,,,,,,
1993-11-01,,100.500,100.500,,,,,98.200,-1.30653,98.200,,,104.100,3.78863,104.100,,,,,,,101.100,,,,,99.5,99.500,,,,,,,,,,
1993-12-01,,101.500,101.500,,,,,98.100,-1.40704,98.100,,,104.200,4.09590,104.200,,,,,,,101.000,,,,,99.6,99.600,,,,,,,,,,
1994-01-01,,102.000,102.000,,,,,97.500,-2.10843,97.500,,,106.000,2.91262,106.000,,,,,,,101.000,,,,,99.2,99.200,,,,,,,,,,
1994-02-01,,101.800,101.800,,,,,98.700,-0.90361,98.700,,,106.400,4.00782,106.400,,,,,,,101.000,,,,,99.2,99.200,,,,,,,,,,
1994-03-01,,102.800,102.800,,,,,99.500,-0.30060,99.500,,,106.400,3.70370,106.400,,,,,,,101.000,,,,,99.2,99.200,,,,,,,,,,
1994-04-01,,102.900,102.900,,,,,99.000,-0.80160,99.000,,,106.500,3.90244,106.500,,,,,,,103.200,,,,,99.2,99.200,,,,,,,,,,
1994-05-01,,103.800,103.800,,,,,98.900,0.30426,98.900,,,106.800,4.09357,106.800,,,,,,,104.000,,,,,99.9,99.900,,,,,,,,,,
1994-06-01,,103.400,103.400,,,,,99.500,0.00000,99.500,,,106.700,3.99610,106.700,,,,,,,105.700,,,,,100.0,100.000,,,,,,,,,,
1994-07-01,,103.400,103.400,,,,,100.100,2.56148,100.100,,,106.800,4.09357,106.800,,,,,,,106.000,,,,,100.0,100.000,,,,,,,,,,
1994-08-01,,102.900,102.900,,,,,100.200,1.51976,100.200,,,106.700,3.19149,106.700,,,,,,,107.300,,,,,100.3,100.300,,,,,,,,,,
1994-09-01,,103.300,103.300,,,,,100.300,1.62107,100.300,,,107.100,3.57834,107.100,,,,,,,106.900,,,,,100.6,100.600,,,,,,,,,,
1994-10-01,,104.600,104.600,,,,,101.300,2.63425,101.300,,,107.100,3.47826,107.100,,,,,,,106.300,,,,,100.6,100.600,,,,,,,,,,
1994-11-01,,104.200,104.200,,,,,101.200,3.05499,101.200,,,107.400,3.17003,107.400,,,,,,,106.300,,,,,100.6,100.600,,,,,,,,,,
1994-12-01,,103.700,103.700,,,,,102.100,4.07747,102.100,,,107.400,3.07102,107.400,,,,,,,106.300,,,,,100.6,100.600,,,,,,,,,,
1995-01-01,,103.800,103.800,,,,,100.800,3.38462,100.800,,,109.400,3.20755,109.400,,,,,,,106.000,,,,,101.0,101.000,,,,,,,,,,
1995-02-01,,104.000,104.000,,,,,102.100,3.44478,102.100,,,109.600,3.00752,109.600,,,,,,,106.400,,,,,101.0,101.000,,,,,,,,,,
1995-03-01,,103.800,103.800,,,,,102.800,3.31658,102.800,,,109.300,2.72556,109.300,,,,,,,106.400,,,,,101.0,101.000,,,,,,,,,,
1995-04-01,,104.000,104.000,,,,,102.000,3.03030,102.000,,,109.500,2.81690,109.500,,,,,,,106.300,,,,,100.9,100.900,,,,,,,,,,
1995-05-01,,104.300,104.300,,,,,102.500,3.64004,102.500,,,109.300,2.34082,109.300,,,,,,,106.900,,,,,100.9,100.900,,,,,,,,,,
1995-06-01,,104.800,104.800,,,,,102.900,3.41709,102.900,,,109.100,2.24930,109.100,,,,,,,109.300,,,,,100.9,100.900,,,,,,,,,,
1995-07-01,,105.300,105.300,,,,,101.200,1.09890,101.200,,,109.100,2.15356,109.100,,,,,,,109.000,,,,,100.9,100.900,,,,,,,,,,
1995-08-01,,105.300,105.300,,,,,103.600,3.39321,103.600,,,108.600,1.78069,108.600,,,,,,,109.000,,,,,100.9,100.900,,,,,,,,,,
1995-09-01,,105.000,105.000,,,,,102.800,2.49252,102.800,,,109.000,1.77404,109.000,,,,,,,109.000,,,,,100.9,100.900,,,,,,,,,,
1995-10-01,,105.000,105.000,,,,,103.100,1.77690,103.100,,,109.000,1.77404,109.000,,,,,,,109.800,,,,,100.9,100.900,,,,,,,,,,
1995-11-01,,105.000,105.000,,,,,102.700,1.48221,102.700,,,109.100,1.58287,109.100,,,,,,,109.800,,,,,100.9,100.900,,,,,,,,,,
1995-12-01,,106.200,106.200,,,,,101.400,-0.68560,101.400,,,109.000,1.48976,109.000,,,,,,,110.300,,,,,100.9,100.900,,,,,,,,,,
1996-01-01,,105.800,105.800,,,,,100.600,-0.19841,100.600,,,112.400,2.74223,112.400,,,,,,,110.300,,,,,100.9,100.900,,,,,,,,,,
1996-02-01,,104.400,104.400,,,,,102.000,-0.09794,102.000,,,112.700,2.82847,112.700,,,,,,,111.900,,,,,100.9,100.900,,,,,,,,,,
1996-03-01,,105.100,105.100,,,,,102.100,-0.68093,102.100,,,112.800,3.20220,112.800,,,,,,,112.200,,,,,100.9,100.900,,,,,,,,,,
1996-04-01,,104.500,104.500,,,,,102.100,0.09804,102.100,,,112.800,3.01370,112.800,,,,,,,112.200,,,,,100.9,100.900,,,,,,,,,,
