pulled_at,endpoint_type,origin_zip3,destination_zip3,trailer_type,carrier_type,include_fuel,include_quartiles,average,minimum,maximum,quartile1,quartile2,quartile3,orders,contributors,days_window
2026-01-01T17:18:04+00:00,buy,900,606,Van,Broker,True,True,2.69,1.49,3.41,2.61,2.96,3.01,16,6,7
2026-01-01T17:18:06+00:00,sell,900,606,Van,Asset,True,True,2.5,2.24,3.35,2.44,2.45,2.46,29,7,28
2026-01-01T17:18:07+00:00,buy,900,606,Flatbed,Broker,True,True,1.97,1.48,2.49,1.77,1.96,2.15,6,5,63
2026-01-01T17:18:08+00:00,sell,900,606,Flatbed,Asset,True,True,3.06,1.81,5.04,1.95,2.76,3.93,6,5,364
2026-01-01T17:18:09+00:00,buy,900,606,Reefer,Broker,True,True,2.31,1.99,2.74,2.19,2.31,2.47,52,9,63
2026-01-01T17:18:10+00:00,sell,900,606,Reefer,Asset,True,True,2.37,2.03,3,2.09,2.19,2.58,8,5,91
2026-01-01T17:18:11+00:00,buy,606,900,Van,Broker,True,True,1.83,1.26,2.43,1.72,1.83,1.98,20,6,7
2026-01-01T17:18:12+00:00,sell,606,900,Van,Asset,True,True,2.36,1.5,2.41,2.35,2.37,2.39,421,7,364
2026-01-01T17:18:13+00:00,buy,606,900,Flatbed,Broker,True,True,1.81,1.09,2.39,1.37,1.92,2.26,6,6,63
2026-01-01T17:18:14+00:00,sell,606,900,Flatbed,Asset,True,True,2.62,2.13,2.81,2.68,2.68,2.7,9,5,364
2026-01-01T17:18:15+00:00,buy,606,900,Reefer,Broker,True,True,1.73,1.49,2.08,1.55,1.66,1.94,10,5,14
2026-01-01T17:18:15+00:00,sell,606,900,Reefer,Asset,True,True,1.44,1.12,2.12,1.13,1.32,1.58,20,6,364
2026-01-01T17:18:16+00:00,buy,100,606,Van,Broker,True,True,1.95,1.54,2.49,1.77,1.91,2.08,7,6,7
2026-01-01T17:18:17+00:00,sell,100,606,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:18+00:00,buy,100,606,Flatbed,Broker,True,True,1.98,1.71,2.3,1.79,1.82,2.28,5,5,182
2026-01-01T17:18:19+00:00,sell,100,606,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:20+00:00,buy,100,606,Reefer,Broker,True,True,2.28,1.22,4.04,1.82,2.01,2.27,33,8,63
2026-01-01T17:18:20+00:00,sell,100,606,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:21+00:00,buy,606,100,Van,Broker,True,True,3.82,2.14,5.57,3.31,3.5,4.37,11,9,7
2026-01-01T17:18:22+00:00,sell,606,100,Van,Asset,True,True,2.84,2.16,3.23,2.67,2.91,3.1,12,5,364
2026-01-01T17:18:23+00:00,buy,606,100,Flatbed,Broker,True,True,3.51,2.68,4.08,3.23,3.71,3.77,6,5,91
2026-01-01T17:18:24+00:00,sell,606,100,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:25+00:00,buy,606,100,Reefer,Broker,True,True,3.82,2.02,5.07,3.45,4.19,4.35,12,6,14
2026-01-01T17:18:26+00:00,sell,606,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:26+00:00,buy,900,100,Van,Broker,True,True,2.26,1.2,2.81,2.14,2.25,2.74,9,6,63
2026-01-01T17:18:27+00:00,sell,900,100,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:28+00:00,buy,900,100,Flatbed,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:29+00:00,sell,900,100,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:30+00:00,buy,900,100,Reefer,Broker,True,True,2.49,1,3.04,2.42,2.53,2.73,37,7,182
2026-01-01T17:18:30+00:00,sell,900,100,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:31+00:00,buy,100,900,Van,Broker,True,True,1.48,1.17,1.7,1.4,1.44,1.63,7,7,28
2026-01-01T17:18:32+00:00,sell,100,900,Van,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:33+00:00,buy,100,900,Flatbed,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:34+00:00,sell,100,900,Flatbed,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:35+00:00,buy,100,900,Reefer,Broker,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:36+00:00,sell,100,900,Reefer,Asset,True,True,0,0,0,0,0,0,0,0,0
2026-01-01T17:18:37+00:00,buy,900,750,Van,Broker,True,True,2.83,2.03,3.91,2.52,2.72,3.01,28,15,7
2026-01-01T17:18:39+00:00,sell,900,750,Van,Asset,True,True,2.78,2.54,3.42,2.58,2.78,2.92,23,8,7
2026-01-01T17:18:40+00:00,buy,900,750,Flatbed,Broker,True,True,1.98,1.14,3.13,1.75,1.82,2,30,12,63
2026-01-01T17:18:41+00:00,sell,900,750,Flatbed,Asset,True,True,2.14,1.82,3.13,1.9,1.93,2.17,12,6,28
2026-01-01T17:18:42+00:00,buy,900,750,Reefer,Broker,True,True,2.74,1.47,3.23,2.6,2.8,2.91,23,5,28
2026-01-01T17:18:43+00:00,sell,900,750,Reefer,Asset,True,True,2.7,2.33,2.87,2.54,2.78,2.86,18,7,28
2026-01-01T17:18:44+00:00,buy,750,900,Van,Broker,True,True,1.18,0.98,1.95,1.01,1.07,1.19,16,5,7
2026-01-01T17:18:45+00:00,sell,750,900,Van,Asset,True,True,1.94,0.99,3.18,1.88,1.89,1.9,49,5,28
2026-01-01T17:18:46+00:00,buy,750,900,Flatbed,Broker,True,True,2.36,1.01,3.4,2.12,2.38,2.41,22,8,14
2026-01-01T17:18:47+00:00,sell,750,900,Flatbed,Asset,True,True,3.01,1.95,4.84,2.23,2.58,3.39,12,8,364
2026-01-01T17:18:49+00:00,buy,750,900,Reefer,Broker,True,True,1.74,1.33,3.39,1.45,1.56,1.83,12,5,7
2026-01-01T17:18:50+00:00,sell,750,900,Reefer,Asset,True,True,2.45,1.21,3.38,1.54,2.22,3.38,9,5,182
2026-01-01T17:18:51+00:00,buy,900,770,Van,Broker,True,True,2.86,1.35,5.14,2.41,2.65,2.76,13,7,7
2026-01-01T17:18:52+00:00,sell,900,770,Van,Asset,True,True,2.2,1.36,3.35,2,2.2,2.34,29,9,63
2026-01-01T17:18:53+00:00,buy,900,770,Flatbed,Broker,True,True,1.65,1.3,2.13,1.49,1.65,1.66,5,5,7
2026-01-01T17:18:54+00:00,sell,900,770,Flatbed,Asset,True,True,3.21,1.42,8.96,1.44,1.69,2,28,7,63
2026-01-01T17:18:55+00:00,buy,900,770,Reefer,Broker,True,True,2.63,2.32,2.85,2.51,2.62,2.77,20,7,28
2026-01-01T17:18:57+00:00,sell,900,770,Reefer,Asset,True,True,2.45,2.04,2.66,2.41,2.45,2.51,30,7,182
