Region-to-Region Flatbeds Broker Spot DAT Rates Without fuel - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,3.53,2.57,1.98,1.42,1.59,1.49,1.60,1.49,1.66,1.52,1.61,1.77,1.63,1.60,1.61,,2.68,
Upper Atlantic,3.58,3.75,3.16,1.80,1.89,1.62,1.96,1.89,1.86,1.74,1.52,1.79,1.74,1.51,1.54,3.11,2.14,1.76
Lower Atlantic,3.34,3.30,3.34,2.29,1.98,1.81,2.21,1.95,1.93,1.79,1.59,1.95,1.92,1.63,1.56,,2.13,
Carolinas,2.68,2.75,2.93,3.57,2.36,2.24,2.07,2.00,2.10,1.81,1.71,1.63,1.90,1.67,1.91,,1.87,1.67
Florida-So Georgia,1.93,1.84,1.95,1.82,2.47,1.68,1.66,1.58,1.57,1.64,1.53,1.57,1.71,1.65,1.49,,1.54,1.46
Southeast,2.56,2.45,2.56,2.57,2.61,2.94,2.48,2.19,2.17,2.24,2.14,2.06,2.27,1.83,1.77,,1.63,1.64
Ohio River,2.88,3.10,3.07,2.54,2.40,2.47,3.27,2.88,2.56,2.72,2.07,2.17,2.34,1.71,1.85,,2.43,1.74
Great Lakes,2.71,2.89,2.81,2.16,2.11,2.06,2.92,3.11,2.87,2.51,1.77,2.10,2.13,1.74,1.88,,2.08,1.44
Upper Midwest,2.22,2.20,2.02,1.87,1.87,1.70,1.88,2.23,2.86,2.31,1.80,2.48,2.53,2.01,2.10,,1.33,1.96
Lower Midwest,2.25,2.08,2.12,2.18,2.05,1.84,2.04,1.95,2.62,3.00,2.00,2.55,2.65,1.91,1.99,,1.76,1.50
South Central,1.90,1.84,1.94,1.86,1.88,1.81,1.82,1.75,2.15,2.23,2.45,2.17,2.32,1.84,1.83,,1.51,1.47
Upper Mountain,1.66,1.61,1.56,1.53,1.51,1.42,1.65,1.44,1.73,1.57,1.49,2.45,2.39,2.27,1.88,,2.22,1.80
Lower Mountain,1.55,1.55,1.33,1.47,1.46,1.36,1.44,1.29,1.77,1.46,1.40,2.15,2.16,1.73,1.69,,1.49,1.79
California,1.54,1.55,1.55,1.69,1.54,1.42,1.54,1.58,1.58,1.67,1.55,2.65,2.51,2.47,1.87,,1.08,1.72
Pacific Northwest,1.61,1.62,1.44,1.47,1.57,1.48,1.58,1.53,1.85,1.68,1.54,2.97,2.44,2.24,3.53,,,2.57
Canada East,,,,,,,,,,,,,,,,,1.91,
Canada Central,3.72,3.35,3.10,2.62,2.24,2.14,2.53,2.75,2.78,2.31,2.20,,2.06,1.87,1.81,2.14,3.00,1.87
Canada West,,1.54,,,,1.41,1.37,1.60,2.21,,1.36,2.74,2.39,1.69,2.55,,1.42,2.15
