Region-to-Region Reefers Broker Spot DAT Rates Without fuel - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,5.08,3.04,2.59,2.51,2.28,2.05,1.70,1.39,1.49,1.53,1.62,1.46,1.41,1.05,1.41,,1.92,
Upper Atlantic,4.57,4.52,4.39,3.06,2.53,2.44,2.13,1.74,1.52,1.59,1.60,1.31,1.45,1.06,1.49,2.78,2.14,1.72
Lower Atlantic,3.91,4.02,4.83,3.56,2.64,2.50,2.19,1.84,1.48,1.47,1.45,1.61,1.23,0.97,1.40,,1.96,
Carolinas,2.89,2.82,3.40,4.27,2.97,2.83,2.03,1.62,1.40,1.44,1.48,1.30,1.38,1.10,1.45,,1.75,1.51
Florida-So Georgia,2.24,2.11,2.15,2.11,3.52,1.97,1.69,1.43,1.32,1.36,1.39,1.28,1.23,0.89,1.31,,1.57,1.49
Southeast,2.55,2.59,2.99,3.62,3.33,3.75,2.50,1.82,1.71,1.83,1.98,1.71,1.62,1.19,1.55,,1.99,1.97
Ohio River,3.56,3.75,3.91,4.12,3.30,4.02,4.18,2.85,2.03,2.47,2.37,1.72,1.66,1.24,1.53,,2.14,1.58
Great Lakes,3.50,3.73,4.02,3.75,3.11,3.60,4.31,3.97,2.55,2.82,2.45,1.81,1.84,1.43,1.76,,2.30,1.90
Upper Midwest,3.17,3.32,3.31,3.24,3.06,3.38,3.86,3.60,3.85,4.10,3.15,2.54,2.44,1.88,2.14,,2.37,2.42
Lower Midwest,3.03,3.09,3.15,3.32,3.20,3.43,3.54,2.90,2.65,3.88,3.18,2.42,2.62,1.81,1.95,,2.16,2.22
South Central,2.53,2.48,2.62,2.78,2.83,2.89,2.51,2.11,1.94,2.38,3.05,2.01,1.90,1.40,1.72,,1.86,1.94
Upper Mountain,2.54,2.52,2.54,2.56,2.69,2.58,2.38,2.42,2.51,2.60,2.69,3.43,3.15,2.54,3.05,,1.86,3.21
Lower Mountain,2.50,2.57,2.45,2.56,2.59,2.58,2.46,2.30,2.12,2.22,2.62,2.64,2.82,2.26,2.41,,2.44,2.54
California,2.12,2.12,2.15,2.13,2.23,2.11,2.04,1.93,2.01,2.12,2.20,3.12,2.82,2.94,2.56,,2.03,2.70
Pacific Northwest,2.30,2.29,2.36,2.35,2.29,2.34,2.19,2.19,2.38,2.29,2.33,2.58,2.29,1.78,4.03,,1.70,3.12
Canada East,,4.20,,,,,,2.06,,,,,,,,,1.39,
Canada Central,4.49,3.68,3.79,3.24,2.67,2.45,2.71,3.00,2.42,2.23,1.58,1.87,1.65,1.32,2.02,2.51,2.44,2.30
Canada West,,2.09,2.08,,1.87,1.93,,2.36,3.66,,2.19,2.41,1.44,0.90,2.68,,1.40,2.74
