State-to-State Reefers Broker Spot DAT Rates With DAT fuel ($0.41) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dest - AB,AL,AR,AZ,BC,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NF,NH,NJ,NM,NS,NV,NY,OH,OK,ON,OR,PA,PE,PQ,RI,SC,SD,SK,TN,TX,UT,VA,VT,WA,WI,WV,WY
Origin - AB,4.15,,,,3.06,1.56,,,,2.30,,,,2.71,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,1.85,,2.31,,,,,,2.47,,2.04,,,,,,,
AL,,4.97,1.93,1.92,,1.61,2.16,3.40,3.20,3.84,4.42,1.94,,2.19,2.26,2.18,3.26,3.37,2.64,,3.06,2.82,2.57,2.20,2.11,3.83,,,3.46,,,,,2.75,2.20,,,3.01,2.98,2.49,2.31,1.87,2.99,,,,3.74,,,4.33,2.22,1.80,3.16,,,1.96,4.08,
AR,,4.41,7.04,2.29,,1.93,3.51,,,3.80,3.97,2.76,2.39,3.00,3.21,3.68,4.03,4.22,3.03,,3.45,,3.01,2.72,3.96,4.80,,,3.74,,2.64,,3.16,2.96,3.00,,2.14,3.25,3.33,4.13,,2.24,3.09,,,,4.03,,,4.15,3.62,2.22,3.56,,2.23,2.90,,3.52
AZ,2.95,3.19,2.88,4.91,2.82,3.22,3.99,2.96,,3.01,3.04,2.86,2.77,2.87,2.88,2.85,3.02,3.67,2.91,,2.88,,2.80,2.69,2.78,,,,2.92,,2.79,,,3.00,3.93,,3.38,3.05,2.97,3.14,2.99,3.04,3.09,,2.61,,3.08,,3.18,3.20,3.21,2.75,3.01,,2.78,2.69,,
BC,2.85,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,1.71,,,,,,,,,,2.96,,,
CA,3.13,2.47,2.55,3.34,3.15,3.35,3.42,2.50,2.41,2.64,2.51,2.37,2.96,2.34,2.42,2.34,2.56,2.55,2.53,,2.55,2.55,2.35,2.42,2.55,2.64,3.79,,2.54,,2.79,,2.54,2.51,3.28,,4.14,2.55,2.38,2.66,2.51,3.14,2.55,,2.31,,2.54,2.51,3.00,2.57,2.62,2.89,2.56,,2.90,2.26,,3.29
CO,,3.00,3.17,1.93,,1.81,5.01,3.14,,2.80,2.68,2.11,1.54,2.15,2.19,2.18,2.30,2.93,2.39,,2.44,,2.68,2.08,2.20,,2.82,,2.65,2.26,2.27,,,2.69,2.97,,2.11,2.59,2.50,2.84,,2.13,2.59,,,,3.13,1.86,,2.63,2.35,1.82,2.52,,2.14,2.11,,4.10
CT,,,,,,1.43,,,,2.63,2.78,,,1.86,2.19,,,,,,2.89,,,,2.11,,,,2.87,,,,,4.43,,,,4.98,2.14,,,,3.75,,,,,,,,1.91,,3.17,,,,,
DE,,,1.84,,,1.35,,6.06,,2.93,3.18,1.82,,2.16,2.53,,2.36,,5.22,,,,2.80,1.72,1.88,,,,3.56,,1.69,,5.11,,,,,5.47,2.62,,,,5.87,,,,2.97,,,2.62,1.79,,4.95,,,2.35,,
FL,,2.28,2.08,1.41,,1.28,1.91,2.57,2.20,3.89,2.10,1.80,1.74,1.62,1.94,1.83,2.23,2.29,2.64,,2.64,2.58,1.97,1.75,1.78,2.07,,,2.38,,1.60,,2.58,2.49,1.79,,1.52,2.60,2.07,1.70,1.94,1.78,2.43,,2.21,2.87,2.38,,,2.11,1.70,1.58,2.48,,1.69,1.89,,1.84
