Region-to-Region Vans Broker Spot DAT Rates Without fuel - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,3.91,2.47,1.99,1.61,1.89,1.56,1.28,1.24,1.59,1.42,1.29,1.30,1.46,1.04,1.36,2.28,1.59,1.46
Upper Atlantic,4.04,3.74,3.50,2.14,2.26,1.83,1.73,1.55,1.58,1.61,1.37,1.36,1.49,1.00,1.46,2.07,1.88,1.57
Lower Atlantic,3.50,3.30,3.48,2.48,2.37,1.86,1.79,1.58,1.57,1.57,1.37,1.39,1.49,1.00,1.47,,1.73,1.71
Carolinas,2.66,2.42,2.90,3.10,2.70,2.19,1.86,1.58,1.56,1.62,1.41,1.38,1.56,1.04,1.47,2.14,1.48,1.63
Florida-So Georgia,1.72,1.49,1.45,1.38,2.62,1.28,1.21,1.09,1.26,1.26,1.09,1.23,1.29,0.88,1.31,,1.15,1.42
Southeast,2.30,2.19,2.35,2.57,2.84,2.76,1.99,1.59,1.70,1.81,1.63,1.59,1.60,1.08,1.59,2.06,1.36,1.63
Ohio River,2.85,3.05,3.34,2.83,2.86,2.89,3.09,2.37,2.08,2.27,1.85,1.62,1.77,1.20,1.70,1.53,1.68,1.76
Great Lakes,2.90,2.98,3.14,2.66,2.62,2.55,3.08,2.92,2.46,2.48,1.78,1.66,1.85,1.21,1.61,2.00,1.73,1.86
Upper Midwest,2.46,2.57,2.50,2.32,2.41,2.36,2.37,2.38,3.03,2.86,2.17,2.20,2.30,1.60,2.16,,1.49,2.07
Lower Midwest,2.33,2.28,2.36,2.14,2.38,2.17,2.17,1.89,2.28,3.10,2.16,1.96,2.27,1.43,1.97,,1.42,1.94
South Central,1.94,1.87,1.94,1.82,2.25,2.00,1.76,1.59,1.80,2.02,2.14,1.62,1.78,1.16,1.71,1.62,1.35,1.60
Upper Mountain,1.98,1.96,1.99,1.79,2.00,1.93,1.78,1.79,1.88,1.94,1.90,2.41,2.41,1.74,2.66,,1.50,2.50
Lower Mountain,1.88,1.90,1.89,1.80,1.95,1.83,1.56,1.59,1.68,1.72,1.70,2.17,2.30,1.25,2.21,,1.42,1.87
California,1.92,1.91,1.96,2.00,2.08,2.05,1.80,1.75,2.04,2.05,2.07,2.98,2.77,2.40,2.56,,1.42,2.37
Pacific Northwest,1.75,1.65,1.79,1.48,1.70,1.61,1.32,1.39,1.77,1.67,1.63,2.11,1.72,1.23,3.20,,1.17,2.54
Canada East,,2.16,,,,,1.35,1.68,,,,,,,,,1.23,
Canada Central,3.07,2.95,2.64,2.07,2.14,1.75,1.90,2.02,1.81,1.74,1.29,1.60,1.37,1.13,1.66,2.07,1.80,1.79
Canada West,1.03,1.28,1.44,,1.48,1.10,1.13,1.20,1.41,1.26,1.53,1.41,1.36,0.89,2.14,,1.01,2.18
