Region-to-Region Vans Broker Spot DAT Rates With DAT fuel ($0.37) - Past 30 days as of 01/05/2026,,,,,,,,,,,,,,,,,,
,Dest - New England,Upper Atlantic,Lower Atlantic,Carolinas,Florida-So Georgia,Southeast,Ohio River,Great Lakes,Upper Midwest,Lower Midwest,South Central,Upper Mountain,Lower Mountain,California,Pacific Northwest,Canada East,Canada Central,Canada West
Origin - New England,4.28,2.84,2.36,1.98,2.26,1.93,1.65,1.61,1.96,1.79,1.66,1.67,1.83,1.41,1.73,2.65,1.96,1.83
Upper Atlantic,4.41,4.11,3.87,2.51,2.63,2.20,2.10,1.92,1.95,1.98,1.74,1.73,1.86,1.37,1.83,2.44,2.25,1.94
Lower Atlantic,3.87,3.67,3.85,2.85,2.74,2.23,2.16,1.95,1.94,1.94,1.74,1.76,1.86,1.37,1.84,,2.10,2.08
Carolinas,3.03,2.79,3.27,3.47,3.07,2.56,2.23,1.95,1.93,1.99,1.78,1.75,1.93,1.41,1.84,2.51,1.85,2.00
Florida-So Georgia,2.09,1.86,1.82,1.75,2.99,1.65,1.58,1.46,1.63,1.63,1.46,1.60,1.66,1.25,1.68,,1.52,1.79
Southeast,2.67,2.56,2.72,2.94,3.21,3.13,2.36,1.96,2.07,2.18,2.00,1.96,1.97,1.45,1.96,2.43,1.73,2.00
Ohio River,3.22,3.42,3.71,3.20,3.23,3.26,3.46,2.74,2.45,2.64,2.22,1.99,2.14,1.57,2.07,1.90,2.05,2.13
Great Lakes,3.27,3.35,3.51,3.03,2.99,2.92,3.45,3.29,2.83,2.85,2.15,2.03,2.22,1.58,1.98,2.37,2.10,2.23
Upper Midwest,2.83,2.94,2.87,2.69,2.78,2.73,2.74,2.75,3.40,3.23,2.54,2.57,2.67,1.97,2.53,,1.86,2.44
Lower Midwest,2.70,2.65,2.73,2.51,2.75,2.54,2.54,2.26,2.65,3.47,2.53,2.33,2.64,1.80,2.34,,1.79,2.31
South Central,2.31,2.24,2.31,2.19,2.62,2.37,2.13,1.96,2.17,2.39,2.51,1.99,2.15,1.53,2.08,1.99,1.72,1.97
Upper Mountain,2.35,2.33,2.36,2.16,2.37,2.30,2.15,2.16,2.25,2.31,2.27,2.78,2.78,2.11,3.03,,1.87,2.87
Lower Mountain,2.25,2.27,2.26,2.17,2.32,2.20,1.93,1.96,2.05,2.09,2.07,2.54,2.67,1.62,2.58,,1.79,2.24
California,2.29,2.28,2.33,2.37,2.45,2.42,2.17,2.12,2.41,2.42,2.44,3.35,3.14,2.77,2.93,,1.79,2.74
Pacific Northwest,2.12,2.02,2.16,1.85,2.07,1.98,1.69,1.76,2.14,2.04,2.00,2.48,2.09,1.60,3.57,,1.54,2.91
Canada East,,2.53,,,,,1.72,2.05,,,,,,,,,1.60,
Canada Central,3.44,3.32,3.01,2.44,2.51,2.12,2.27,2.39,2.18,2.11,1.66,1.97,1.74,1.50,2.03,2.44,2.17,2.16
Canada West,1.40,1.65,1.81,,1.85,1.47,1.50,1.57,1.78,1.63,1.90,1.78,1.73,1.26,2.51,,1.38,2.55
