equipment,geography,fuel_included,origin,destination,rate
flatbeds,region,False,Origin - New England,Dest - New England,3.53
flatbeds,region,False,Origin - New England,Upper Atlantic,2.57
flatbeds,region,False,Origin - New England,Lower Atlantic,1.98
flatbeds,region,False,Origin - New England,Carolinas,1.42
flatbeds,region,False,Origin - New England,Florida-So Georgia,1.59
flatbeds,region,False,Origin - New England,Southeast,1.49
flatbeds,region,False,Origin - New England,Ohio River,1.6
flatbeds,region,False,Origin - New England,Great Lakes,1.49
flatbeds,region,False,Origin - New England,Upper Midwest,1.66
flatbeds,region,False,Origin - New England,Lower Midwest,1.52
flatbeds,region,False,Origin - New England,South Central,1.61
flatbeds,region,False,Origin - New England,Upper Mountain,1.77
flatbeds,region,False,Origin - New England,Lower Mountain,1.63
flatbeds,region,False,Origin - New England,California,1.6
flatbeds,region,False,Origin - New England,Pacific Northwest,1.61
flatbeds,region,False,Origin - New England,Canada Central,2.68
flatbeds,region,False,Upper Atlantic,Dest - New England,3.58
flatbeds,region,False,Upper Atlantic,Upper Atlantic,3.75
flatbeds,region,False,Upper Atlantic,Lower Atlantic,3.16
flatbeds,region,False,Upper Atlantic,Carolinas,1.8
flatbeds,region,False,Upper Atlantic,Florida-So Georgia,1.89
flatbeds,region,False,Upper Atlantic,Southeast,1.62
flatbeds,region,False,Upper Atlantic,Ohio River,1.96
flatbeds,region,False,Upper Atlantic,Great Lakes,1.89
flatbeds,region,False,Upper Atlantic,Upper Midwest,1.86
flatbeds,region,False,Upper Atlantic,Lower Midwest,1.74
flatbeds,region,False,Upper Atlantic,South Central,1.52
flatbeds,region,False,Upper Atlantic,Upper Mountain,1.79
flatbeds,region,False,Upper Atlantic,Lower Mountain,1.74
flatbeds,region,False,Upper Atlantic,California,1.51
flatbeds,region,False,Upper Atlantic,Pacific Northwest,1.54
flatbeds,region,False,Upper Atlantic,Canada East,3.11
flatbeds,region,False,Upper Atlantic,Canada Central,2.14
flatbeds,region,False,Upper Atlantic,Canada West,1.76
flatbeds,region,False,Lower Atlantic,Dest - New England,3.34
flatbeds,region,False,Lower Atlantic,Upper Atlantic,3.3
flatbeds,region,False,Lower Atlantic,Lower Atlantic,3.34
flatbeds,region,False,Lower Atlantic,Carolinas,2.29
flatbeds,region,False,Lower Atlantic,Florida-So Georgia,1.98
flatbeds,region,False,Lower Atlantic,Southeast,1.81
flatbeds,region,False,Lower Atlantic,Ohio River,2.21
flatbeds,region,False,Lower Atlantic,Great Lakes,1.95
flatbeds,region,False,Lower Atlantic,Upper Midwest,1.93
flatbeds,region,False,Lower Atlantic,Lower Midwest,1.79
flatbeds,region,False,Lower Atlantic,South Central,1.59
flatbeds,region,False,Lower Atlantic,Upper Mountain,1.95
flatbeds,region,False,Lower Atlantic,Lower Mountain,1.92
flatbeds,region,False,Lower Atlantic,California,1.63
flatbeds,region,False,Lower Atlantic,Pacific Northwest,1.56
flatbeds,region,False,Lower Atlantic,Canada Central,2.13
flatbeds,region,False,Carolinas,Dest - New England,2.68
flatbeds,region,False,Carolinas,Upper Atlantic,2.75
flatbeds,region,False,Carolinas,Lower Atlantic,2.93
flatbeds,region,False,Carolinas,Carolinas,3.57
flatbeds,region,False,Carolinas,Florida-So Georgia,2.36
flatbeds,region,False,Carolinas,Southeast,2.24
flatbeds,region,False,Carolinas,Ohio River,2.07
flatbeds,region,False,Carolinas,Great Lakes,2.0
flatbeds,region,False,Carolinas,Upper Midwest,2.1
flatbeds,region,False,Carolinas,Lower Midwest,1.81
flatbeds,region,False,Carolinas,South Central,1.71
flatbeds,region,False,Carolinas,Upper Mountain,1.63
flatbeds,region,False,Carolinas,Lower Mountain,1.9
flatbeds,region,False,Carolinas,California,1.67
flatbeds,region,False,Carolinas,Pacific Northwest,1.91
flatbeds,region,False,Carolinas,Canada Central,1.87
flatbeds,region,False,Carolinas,Canada West,1.67
flatbeds,region,False,Florida-So Georgia,Dest - New England,1.93
flatbeds,region,False,Florida-So Georgia,Upper Atlantic,1.84
flatbeds,region,False,Florida-So Georgia,Lower Atlantic,1.95
flatbeds,region,False,Florida-So Georgia,Carolinas,1.82
flatbeds,region,False,Florida-So Georgia,Florida-So Georgia,2.47
flatbeds,region,False,Florida-So Georgia,Southeast,1.68
flatbeds,region,False,Florida-So Georgia,Ohio River,1.66
flatbeds,region,False,Florida-So Georgia,Great Lakes,1.58
flatbeds,region,False,Florida-So Georgia,Upper Midwest,1.57
flatbeds,region,False,Florida-So Georgia,Lower Midwest,1.64
flatbeds,region,False,Florida-So Georgia,South Central,1.53
flatbeds,region,False,Florida-So Georgia,Upper Mountain,1.57
flatbeds,region,False,Florida-So Georgia,Lower Mountain,1.71
flatbeds,region,False,Florida-So Georgia,California,1.65
flatbeds,region,False,Florida-So Georgia,Pacific Northwest,1.49
flatbeds,region,False,Florida-So Georgia,Canada Central,1.54
flatbeds,region,False,Florida-So Georgia,Canada West,1.46
flatbeds,region,False,Southeast,Dest - New England,2.56
flatbeds,region,False,Southeast,Upper Atlantic,2.45
flatbeds,region,False,Southeast,Lower Atlantic,2.56
flatbeds,region,False,Southeast,Carolinas,2.57
flatbeds,region,False,Southeast,Florida-So Georgia,2.61
flatbeds,region,False,Southeast,Southeast,2.94
flatbeds,region,False,Southeast,Ohio River,2.48
flatbeds,region,False,Southeast,Great Lakes,2.19
flatbeds,region,False,Southeast,Upper Midwest,2.17
flatbeds,region,False,Southeast,Lower Midwest,2.24
flatbeds,region,False,Southeast,South Central,2.14
flatbeds,region,False,Southeast,Upper Mountain,2.06
flatbeds,region,False,Southeast,Lower Mountain,2.27
flatbeds,region,False,Southeast,California,1.83
flatbeds,region,False,Southeast,Pacific Northwest,1.77
flatbeds,region,False,Southeast,Canada Central,1.63
flatbeds,region,False,Southeast,Canada West,1.64
flatbeds,region,False,Ohio River,Dest - New England,2.88
flatbeds,region,False,Ohio River,Upper Atlantic,3.1
flatbeds,region,False,Ohio River,Lower Atlantic,3.07
flatbeds,region,False,Ohio River,Carolinas,2.54
flatbeds,region,False,Ohio River,Florida-So Georgia,2.4
flatbeds,region,False,Ohio River,Southeast,2.47
flatbeds,region,False,Ohio River,Ohio River,3.27
flatbeds,region,False,Ohio River,Great Lakes,2.88
flatbeds,region,False,Ohio River,Upper Midwest,2.56
flatbeds,region,False,Ohio River,Lower Midwest,2.72
flatbeds,region,False,Ohio River,South Central,2.07
flatbeds,region,False,Ohio River,Upper Mountain,2.17
flatbeds,region,False,Ohio River,Lower Mountain,2.34
flatbeds,region,False,Ohio River,California,1.71
flatbeds,region,False,Ohio River,Pacific Northwest,1.85
flatbeds,region,False,Ohio River,Canada Central,2.43
flatbeds,region,False,Ohio River,Canada West,1.74
flatbeds,region,False,Great Lakes,Dest - New England,2.71
flatbeds,region,False,Great Lakes,Upper Atlantic,2.89
flatbeds,region,False,Great Lakes,Lower Atlantic,2.81
flatbeds,region,False,Great Lakes,Carolinas,2.16
flatbeds,region,False,Great Lakes,Florida-So Georgia,2.11
flatbeds,region,False,Great Lakes,Southeast,2.06
flatbeds,region,False,Great Lakes,Ohio River,2.92
flatbeds,region,False,Great Lakes,Great Lakes,3.11
flatbeds,region,False,Great Lakes,Upper Midwest,2.87
flatbeds,region,False,Great Lakes,Lower Midwest,2.51
flatbeds,region,False,Great Lakes,South Central,1.77
flatbeds,region,False,Great Lakes,Upper Mountain,2.1
flatbeds,region,False,Great Lakes,Lower Mountain,2.13
flatbeds,region,False,Great Lakes,California,1.74
flatbeds,region,False,Great Lakes,Pacific Northwest,1.88
flatbeds,region,False,Great Lakes,Canada Central,2.08
flatbeds,region,False,Great Lakes,Canada West,1.44
flatbeds,region,False,Upper Midwest,Dest - New England,2.22
flatbeds,region,False,Upper Midwest,Upper Atlantic,2.2
flatbeds,region,False,Upper Midwest,Lower Atlantic,2.02
flatbeds,region,False,Upper Midwest,Carolinas,1.87
flatbeds,region,False,Upper Midwest,Florida-So Georgia,1.87
flatbeds,region,False,Upper Midwest,Southeast,1.7
flatbeds,region,False,Upper Midwest,Ohio River,1.88
flatbeds,region,False,Upper Midwest,Great Lakes,2.23
flatbeds,region,False,Upper Midwest,Upper Midwest,2.86
flatbeds,region,False,Upper Midwest,Lower Midwest,2.31
flatbeds,region,False,Upper Midwest,South Central,1.8
flatbeds,region,False,Upper Midwest,Upper Mountain,2.48
flatbeds,region,False,Upper Midwest,Lower Mountain,2.53
flatbeds,region,False,Upper Midwest,California,2.01
flatbeds,region,False,Upper Midwest,Pacific Northwest,2.1
