origin_zip3,destination_zip3,trailer_type,carrier_type,lane,rate_without_fuel,rate_with_fuel,fuel_surcharge,fuel_surcharge_pct
21,100,Flatbed,Asset,21 -> 100,5.19,5.58,0.3899999999999997,7.514450867052017
21,100,Flatbed,Broker,21 -> 100,4.49,4.93,0.4399999999999995,9.799554565701547
21,100,Reefer,Asset,21 -> 100,0.0,0.0,0.0,
21,100,Reefer,Broker,21 -> 100,4.13,4.57,0.4400000000000004,10.653753026634392
21,100,Van,Asset,21 -> 100,3.9,4.36,0.4600000000000004,11.794871794871806
21,100,Van,Broker,21 -> 100,3.91,4.35,0.4399999999999995,11.25319693094628
100,21,Flatbed,Asset,100 -> 21,0.0,0.0,0.0,
100,21,Flatbed,Broker,100 -> 21,5.17,5.62,0.4500000000000002,8.704061895551261
100,21,Reefer,Asset,100 -> 21,0.0,0.0,0.0,
100,21,Reefer,Broker,100 -> 21,4.81,5.27,0.45999999999999996,9.563409563409564
100,21,Van,Asset,100 -> 21,5.06,5.52,0.45999999999999996,9.090909090909092
100,21,Van,Broker,100 -> 21,4.54,4.98,0.4400000000000004,9.691629955947146
100,191,Flatbed,Asset,100 -> 191,2.54,2.98,0.43999999999999995,17.32283464566929
100,191,Flatbed,Broker,100 -> 191,5.69,6.15,0.45999999999999996,8.084358523725834
100,191,Reefer,Asset,100 -> 191,0.0,0.0,0.0,
100,191,Reefer,Broker,100 -> 191,5.01,5.46,0.4500000000000002,8.982035928143716
100,191,Van,Asset,100 -> 191,6.29,6.74,0.4500000000000002,7.15421303656598
100,191,Van,Broker,100 -> 191,5.19,5.63,0.4399999999999995,8.477842003853555
100,212,Flatbed,Asset,100 -> 212,4.64,5.08,0.4400000000000004,9.482758620689664
100,212,Flatbed,Broker,100 -> 212,3.51,3.98,0.4700000000000002,13.390313390313397
100,212,Reefer,Asset,100 -> 212,0.0,0.0,0.0,
100,212,Reefer,Broker,100 -> 212,4.93,5.39,0.45999999999999996,9.330628803245435
100,212,Van,Asset,100 -> 212,3.62,4.05,0.4299999999999997,11.878453038674024
100,212,Van,Broker,100 -> 212,4.79,5.23,0.4400000000000004,9.185803757828818
100,303,Flatbed,Asset,100 -> 303,0.0,0.0,0.0,
100,303,Flatbed,Broker,100 -> 303,2.01,2.47,0.4600000000000004,22.885572139303505
100,303,Reefer,Asset,100 -> 303,0.0,0.0,0.0,
100,303,Reefer,Broker,100 -> 303,2.24,2.7,0.45999999999999996,20.53571428571428
100,303,Van,Asset,100 -> 303,1.94,2.37,0.43000000000000016,22.164948453608257
100,303,Van,Broker,100 -> 303,1.77,2.21,0.43999999999999995,24.85875706214689
100,331,Flatbed,Asset,100 -> 331,0.0,0.0,0.0,
100,331,Flatbed,Broker,100 -> 331,1.88,2.31,0.43000000000000016,22.872340425531927
100,331,Reefer,Asset,100 -> 331,0.0,0.0,0.0,
100,331,Reefer,Broker,100 -> 331,2.4,2.86,0.45999999999999996,19.166666666666664
100,331,Van,Asset,100 -> 331,2.07,2.51,0.43999999999999995,21.256038647342994
100,331,Van,Broker,100 -> 331,2.4,2.86,0.45999999999999996,19.166666666666664
100,606,Flatbed,Asset,100 -> 606,0.0,0.0,0.0,
100,606,Flatbed,Broker,100 -> 606,1.52,1.98,0.45999999999999996,30.263157894736842
100,606,Reefer,Asset,100 -> 606,0.0,0.0,0.0,
100,606,Reefer,Broker,100 -> 606,1.81,2.28,0.46999999999999975,25.966850828729264
100,606,Van,Asset,100 -> 606,0.0,0.0,0.0,
100,606,Van,Broker,100 -> 606,1.51,1.95,0.43999999999999995,29.13907284768212
100,750,Flatbed,Asset,100 -> 750,0.0,0.0,0.0,
100,750,Flatbed,Broker,100 -> 750,0.0,0.0,0.0,
100,750,Reefer,Asset,100 -> 750,0.0,0.0,0.0,
100,750,Reefer,Broker,100 -> 750,1.28,1.73,0.44999999999999996,35.15624999999999
100,750,Van,Asset,100 -> 750,1.23,1.71,0.48,39.02439024390244
100,750,Van,Broker,100 -> 750,2.16,2.62,0.45999999999999996,21.296296296296294
100,770,Flatbed,Asset,100 -> 770,0.0,0.0,0.0,
100,770,Flatbed,Broker,100 -> 770,1.47,1.92,0.44999999999999996,30.61224489795918
100,770,Reefer,Asset,100 -> 770,0.0,0.0,0.0,
100,770,Reefer,Broker,100 -> 770,0.0,0.0,0.0,
100,770,Van,Asset,100 -> 770,1.27,1.71,0.43999999999999995,34.64566929133858
100,770,Van,Broker,100 -> 770,1.14,1.6,0.4600000000000002,40.35087719298247
100,900,Flatbed,Asset,100 -> 900,0.0,0.0,0.0,
100,900,Flatbed,Broker,100 -> 900,0.0,0.0,0.0,
100,900,Reefer,Asset,100 -> 900,0.0,0.0,0.0,
100,900,Reefer,Broker,100 -> 900,0.0,0.0,0.0,
100,900,Van,Asset,100 -> 900,0.0,0.0,0.0,
100,900,Van,Broker,100 -> 900,1.03,1.48,0.44999999999999996,43.689320388349515
100,981,Flatbed,Asset,100 -> 981,0.0,0.0,0.0,
100,981,Flatbed,Broker,100 -> 981,0.0,0.0,0.0,
100,981,Reefer,Asset,100 -> 981,0.0,0.0,0.0,
100,981,Reefer,Broker,100 -> 981,0.0,0.0,0.0,
100,981,Van,Asset,100 -> 981,0.0,0.0,0.0,
100,981,Van,Broker,100 -> 981,0.0,0.0,0.0,
