pulled_at,endpoint_type,origin_zip3,destination_zip3,trailer_type,carrier_type,include_fuel,include_quartiles,average,minimum,maximum,quartile1,quartile2,quartile3,orders,contributors,days_window,origin_zip3_str,destination_zip3_str,origin_state,destination_state
2026-01-06T16:46:26+00:00,buy,900,606,Van,Broker,True,True,2.69,1.49,3.41,2.61,2.96,3.01,16,6,7,900,606,,
2026-01-06T16:46:29+00:00,sell,900,606,Van,Asset,True,True,2.5,2.24,3.35,2.44,2.45,2.46,29,7,28,900,606,,
2026-01-06T16:46:42+00:00,buy,606,900,Van,Broker,True,True,1.83,1.26,2.43,1.72,1.83,1.98,20,6,7,606,900,,
2026-01-06T16:46:53+00:00,buy,606,900,Reefer,Broker,True,True,1.73,1.49,2.08,1.55,1.66,1.94,10,5,14,606,900,,
2026-01-06T16:46:56+00:00,buy,100,606,Van,Broker,True,True,1.95,1.54,2.49,1.77,1.91,2.08,7,6,7,100,606,,
2026-01-06T16:47:07+00:00,buy,606,100,Van,Broker,True,True,3.82,2.14,5.57,3.31,3.5,4.37,11,9,7,606,100,,
2026-01-06T16:47:14+00:00,buy,606,100,Reefer,Broker,True,True,3.82,2.02,5.07,3.45,4.19,4.35,12,6,14,606,100,,
2026-01-06T16:47:46+00:00,buy,100,900,Van,Broker,True,True,1.48,1.17,1.7,1.4,1.44,1.63,7,7,28,100,900,,
2026-01-06T16:47:57+00:00,buy,900,750,Van,Broker,True,True,2.83,2.03,3.91,2.52,2.72,3.01,28,15,7,900,750,,
2026-01-06T16:47:59+00:00,sell,900,750,Van,Asset,True,True,2.78,2.54,3.42,2.58,2.78,2.92,23,8,7,900,750,,
2026-01-06T16:48:03+00:00,sell,900,750,Flatbed,Asset,True,True,2.14,1.82,3.13,1.9,1.93,2.17,12,6,28,900,750,,
2026-01-06T16:48:22+00:00,buy,900,750,Reefer,Broker,True,True,2.74,1.47,3.23,2.6,2.8,2.91,23,5,28,900,750,,
2026-01-06T16:48:42+00:00,sell,900,750,Reefer,Asset,True,True,2.7,2.33,2.87,2.54,2.78,2.86,18,7,28,900,750,,
2026-01-06T16:48:44+00:00,buy,750,900,Van,Broker,True,True,1.18,0.98,1.95,1.01,1.07,1.19,16,5,7,750,900,,
2026-01-06T16:49:03+00:00,sell,750,900,Van,Asset,True,True,1.94,0.99,3.18,1.88,1.89,1.9,49,5,28,750,900,,
2026-01-06T16:49:05+00:00,buy,750,900,Flatbed,Broker,True,True,2.36,1.01,3.4,2.12,2.38,2.41,22,8,14,750,900,,
2026-01-06T16:49:09+00:00,buy,750,900,Reefer,Broker,True,True,1.74,1.33,3.39,1.45,1.56,1.83,12,5,7,750,900,,
2026-01-06T16:50:14+00:00,buy,900,770,Van,Broker,True,True,2.86,1.35,5.14,2.41,2.65,2.76,13,7,7,900,770,,
2026-01-06T16:51:29+00:00,buy,900,770,Flatbed,Broker,True,True,1.65,1.3,2.13,1.49,1.65,1.66,5,5,7,900,770,,
2026-01-06T16:51:33+00:00,buy,900,770,Reefer,Broker,True,True,2.63,2.32,2.85,2.51,2.62,2.77,20,7,28,900,770,,
